product_id,rating,name
99,742,Corn Soya Cereal
1309,788,C.W. Post Cereal
35,814,Blueberry Morning Cereal
138,833,Force
1500,835,Rocky Mountain Chocolate Factory Cereal
684,857,Graham Cracko's Cereal
587,858,Country Corn Flakes Cereal
201,873,Honey Crunch Corn Flakes Cereal
1078,874,Honey Nut Corn Flakes Cereal
532,878,Berry Burst Cheerios - Triple Berry Cereal
725,899,Oatmeal Crisp: Almond Cereal
740,901,Post Toasties Cereal
728,902,Oatmeal Crisp: Hearty Raisin Cereal
1279,929,Frosted Double Dip Crunch Cereal
364,961,Sun Flakes Cereal
1328,993,Fruit Wheats Cereal
17,994,Apple Cinnamon Rice Krispies Cereal
705,1030,Polar Express Cereal
1466,1032,Whole Hearts Cereal
4,1034,Addams Family Cereal
305,1036,Raisin Nut Bran Cereal
451,1079,Total Corn Flakes Cereal
1290,1082,Frosted Bran Cereal
694,1085,Puffed Wheat (Kellogg's) Cereal
263,1136,OKs Cereal
89,1137,Corn Bran Cereal
288,1141,Puffed Rice (Malt-O-Meal) Cereal
917,1177,Waffelos - Blueberry Cereal
1292,1180,Oatmeal Raisin Crisp Cereal
75,1226,Clackers Graham Cereal
377,1283,Total Raisin Bran Cereal
384,1353,Vector Cereal
687,1354,Kenmei Rice Bran Cereal
444,1357,Bran Chex Cereal
682,1359,Country Morning Cereal
189,1360,Honey Bunches of Oats with Real Bananas Cereal
1205,1433,Ruskets Flakes
582,1437,All-Bran Strawberry Medley Cereal
256,1438,Oatbake Cereal
1344,1443,Cinnamon Crunch Crispix Cereal
542,1510,Frosted Mini-Wheats: Vanilla Creme Cereal
1462,1516,Fiber One 80: Honey Squares Cereal
100,1579,Corny-Snaps Cereal
159,1606,Fruit Harvest: Strawberry Blueberry Cereal
202,1637,Honey Nut Shredded Wheat Cereal
200,1639,Honey Nut Clusters Cereal
1173,1642,Pettijohn's Breakfast Food
450,1645,Wheat Hearts Cereal
709,1651,Mini-Wheats: Raisin Cereal
