user,rating,comment,product_id,0,0.1,0
Yumarama,4.0,"(Team Breakfast Member)  This was ""THE"" staple cereal at our house; you could almost always find a box of this available. I've gone and grabbed a box now and then in the last couple decades and can't believe how sweet these things are, and as I assume they'd have had even more sugar back in the 60's, it boggles my mind why my mother would have bought this. However, it still offers a good bit of nostalgia and I may pick up another box sometime, when I can get a bank loan. Man, cereals are expensive now-a-days...",11.0,,,
Grant Schinto,0.0,"I'm Gene Schinto's son. Congratulations. You're one of the few web sites to get anything factually right about my dad's involvement with naming Post cereals and Linus The Lionhearted characters. I'm impressed. By the way, my dad also named the cereal ""Crispy Critters"" and hence invented the now common slang term used by military, law enforcement and firefighters all over America. I didn't even know that until the past decade.",11.0,,,
VEG HEAD,1.0,"I give Alpha-Bits of the past 5 stars. Sadly, I give Alpha-Bits of 2014 a total of 0 stars. They must have changed the recipe, as they have a bitter aftertaste now. YUCK!",11.0,,,
Disappointed,1.0,"Shoot. I got excited. I finally found Alpha Bits in a store. So I bought two boxes of them because they were always my favorite cereal, but I could no longer find them in stores. Yuk! They were horrible! Just discovered they have a new recipe. I wish I had only bought one box. Instead, I'm throwing away two boxes! Awful!",11.0,,,
Disappointed,1.0,"New Alpha Bits are absolutely awful. Please return to the original formula. No one is buying them. Why mess with success. At least Coca Cola realized their error and returned Classic Coke after ""improving"" their product.",11.0,,,
EMA,1.0,"Recently had a craving for Alpha Bits, bought a box and yuck! They have a nasty rotten after taste. The remaining cereal was fed to the chickens. Thankfully, the recipe for eggs does not change.",11.0,,,
Andy,1.0,"This cereal used to be amazing, but they changed the recipe in August 2012 and it now tastes miserable. I'm sad that Post didn't keep it as is. If you want the old Alpha-Bits taste, don't go expecting what you're used to.",11.0,,,
The Bitz,5.0,I must have this cereal at least 4 times a week. It is my all-time favorite!,11.0,,,
Tomato,5.0,I grew up eating this cereal :) I miss it.,11.0,,,
chuckywucky,0.0,I bet Soupy Sales would be angry too - about the change in recipes. I used to love to sit down and have lunch with Soupy.,11.0,,,
Disappointed2,2.0,"Just bought a new box of Alpha-Bits. They didn't taste good - kind of a strong, bitter flavor. My daughter asked what was wrong with the Alpha-Bits. I figured a recipe change. Guess I was right. So sad, it was my favorite cereal.",11.0,,,
They Changed!,1.0,"I looked all over a few weeks ago for Alpha bits as my favorite store was bought out by a bigger store and they didn't carry them. So I find them at Target and I'm THRILLED. I buy 3 boxes. After eating them I go back to said Target and buy 3 more boxes only to find out they TASTE HORRIBLE!!! I called Post and they changed the recipe in August 2012. Just a few weeks ago! My newest boxes are the ""new"" formula. There is NO warning or indication whatsoever that anything has changed but they told me that sugar went from 10 grams to 6 grams! Grains doubled. They increased the Iron and took out something that stimulates brain growth in kids. I'm incensed! I want the ""old"" Alpha Bits back! BTW, I'm 54! Still loving them. WAS still loving them. -D",11.0,,,
MadMonkey,0.0,(Team Breakfast Member) Does anyone remember this cereal also having a marshmallow version? It was the only one I liked... it came in a purple box not blue. Note From Mr Breakfast: Hi Madmonkey - The cereal you're looking for was Marshmallow Alpha-Bits.,11.0,,,
stalley,0.0,Anybody remember when Post has a numbers cereal that corresponded with the letters of Alpha-Bits? Loved them both. They helped me be excited about learning numbers and letters when I was a little sprout. I'm surprised they don't market this cereal and an edible learning tool.,11.0,,,
DeeBee,5.0,Good news if you;re having trouble finding it... Amazon still has Alpha Bits :D,11.0,,,
Lionhearted,0.0,"The Jackson 5 were the young spokespersons for Alpha Bits, because of their hit-song, ""ABC"". We miss you Michael.",11.0,,,
Alpha-Awesome,5.0,I'm bummed that I can no longer find Alpha Bits. It's so fricken' awesome. I don't know why it did not last.,11.0,,,
DuckyStu,5.0,"Alpha Bits have been my most favorite cereal for so many years. It was so disappointing when it disappeared from the shelves. My parents used to buy it by the case and so did I... literally. Then Post teased us with a very limited run a couple of years back, then took it away again... Aaaarrrggg!!!",11.0,,,
ageless kid,5.0,"It was great that the Walmart in my town carried Alpha-Bits for the first time in recent times. The best thing that I remember about Alpha-bits was the ""crazy shapes"" they added in the mid 1960's.",11.0,,,
Jane Doe,5.0,"Not sure I'm going to like the ""new"" version. Why alter an original classic? Darn... and I was looking so forward to finally find somewhere that still sells Alpha Bits! Stores in my area don't carry this anymore, in ANY variety.",11.0,,,
Postman,5.0,Alphabits is a great cereal.,11.0,,,
Tanner T.,0.0,"To Ruffin: if you find it, post it. I've been looking for the alphabits commerical too.",11.0,,,
Ruffin,0.0,"Does anyone have a copy of the commercial that introduced brown sugar frosting? It featured a speech choir for audio and simple line drawing animation in the form of wavy vertical lines and mouths. The text went something like this: A: Have you heard what's new? B: What's new? What's new? A: The brand new taste of Alpha-Bits. They're brown sugar frosted. B: Brown sugar frosted? A: Brown sugar makes these crispy letters, made from oats, golden. New golden Alpha-Bits are better than ever. B: Why are they better? A: 'cause brown sugar makes 'em that way. B: What way? A: Crisp, golden, and delicious. Now Alpha-Bits are more A-B-C-Delicious than ever. Than ever! And new golden Alpha-Bits have energy, from A to Z. You'll like 'em better than cereals with white sugar on 'em. Start your day a little bit better, A-B-C-Deliciously. Now you know what's new, don't you? B: Sure--Alpha-Bits. They have a new golden color and a brand new taste. All: Now the only cereal with all the letters is the only cereal with brown sugar on 'em. New golden Alpha-Bits are better than ever. Than ever!",11.0,,,
joebacon,4.0,(Team Breakfast Member)  I can still remember the original Jack E Leonard commercials where a dog was chasing him up a tree and the postman kept tossing Alpha Bits at the dog. Remember laughing so much at those original commercials. Also remember when they changed the cereal formula to brown sugar. Tasted better!,11.0,,,
Where?!,5.0,"This is my 6 yr olds favorite cereal, and we can't find it any more. Very sad.",11.0,,,
iwantalphabits!,5.0,"(Team Breakfast Member)  I love this cereal I just wish it was still available in Washington state. I wonder it there are enough people out there that feel the same way, to circulate a petition to bring it back to our local stores.",11.0,,,
cj,5.0,I'm over 50 + and this is still by far my most favorite cereal! Yum!,11.0,,,
Coco MOs,4.0,I love the commercials with little Michael Jackson. So cute! Good cereal too.,11.0,,,
stray heart,5.0,"I have the slides and viewer from Alpha bits cereal from when I was a kid, but cannot find any reference to them online.",11.0,,,
CreepysFan,4.0,(Team Breakfast Member)  Recently found this cereal again after a number of years. Still tastes great.,11.0,,,
slade1955,4.0,(Team Breakfast Member)  Another cereal I liked. It was hard to find recently but it is back in the stores again.,11.0,,,
KJB,5.0,I have dreams about this cereal. Was SO good! No added sugar needed. And made the BEST Rice Krispie Bars EVER! Please bring it back Kellogg's.,17.0,,,
BringItBack,5.0,"It's criminal that this Apple Cinnamon Rice Krispies was discontinued! This was the best cereal of my entire life! It beat everyone else, including Cinnamon Toast Crunch!",17.0,,,
mosy,5.0,"This was my all-time favorite cereal. If I ever invented a time machine, my first stop would be to buy this cereal.",17.0,,,
dazbuff,5.0,(Team Breakfast Member)  Why do all really great things end? Forget all those chocolate cereals! Please bring this ultimately great cereal back! This was the best!,17.0,,,
Steve-Os,0.0,"Wow, not sure how I missed these during my childhood. They sound awesome. I ate a lot of different cold cereals as a kid in the 80s and 90s, but I missed this one. Sounds like a lot of people loved it too.",17.0,,,
Solomon Gunn,5.0,"I remember waking up early on the weekend to eat an entire bowl of this. I would pay $1000 for just one more bowl. If a Kellogg's employee is bored at work and comes across this website, please please please bring this back.",17.0,,,
C.B.B.,5.0,Please bring Apple Cinnamon Rice Krispies cereal back... please! Was so good!,17.0,,,
Phil7,5.0,My all-time favorite cereal from when I was a kid. I hope they bring it back someday.,17.0,,,
underwood,5.0,I'll definitely buy it if it comes back to stores. Fingers crossed.,17.0,,,
Dave IL,5.0,If it comes back... I will buy it. Done and done.,17.0,,,
mrs. milbrook,5.0,Love! Love! Love this cereal! I still have faith that they will bring it back.,17.0,,,
cfinn81,5.0,Simply the the greatest cereal I've ever eaten. Please... PLEASE bring it back.,17.0,,,
A.J.,5.0,Bring it back! I too miss this cereal daily and wish to be reunited with it.,17.0,,,
Captain Cereal,5.0,"(Team Breakfast Member)  Whenever I go to Walmarts, I can't help but look through the cereal section where all the Rice Krispies cereals are shelved and I say to myself, ""Could this be the day that Apple Cinnamon Rice Krispies finally returns"" and of course today is another day when I tell myself ""Maybe tomorrow"", but someday and I know this is true "" Apple Cinnamon Rice Krispies will return!",17.0,,,
mdotdatruth,5.0,They definitely need to start making these again... they need to fire whoever made the decision to stop making them.,17.0,,,
A.C. Jacks,5.0,My favorite cereal ever! Wish they would make them again!,17.0,,,
chad,0.0,"Need to bring back the Apple Cinnamon Rice Krispies. That was a good cereal and I miss it. Got to bring it back to Warren, MI! Or where can I find it?",17.0,,,
DevonUK,5.0,I tried these when I was living in the states and became hopelessly addicted. Found this site when I was trying to find somewhere I could buy them. Sad to see that they stopped making them but it answers my question as to why they never released them here in the UK.,17.0,,,
Cait,5.0,"My all-time favorite. I miss it daily. The apple and cinnamon flavor was amazing. Please bring it back to me, Snap Crackle and Pop.",17.0,,,
roxie,5.0,This was the best out of all the Rice Krispies! Are they going to bring it back?,17.0,,,
steve,5.0,This was my favorite cereal for one summer and then it vanished. I'd love to try it again and see if it was as good as I remember.,17.0,,,
Ken,5.0,"Why did they stop making this cereal? This beat out all of the cinnamon competitors. This was my favorite cereal, still waiting on it to return.",17.0,,,
nicolesayles211,4.0,"I wish for them to start re manufacturing this awesome tasting box of Rice Krispies cereal. I don't know why such great cereal isn't being made and sold anymore. Please make this cereal again! Please, it would do great!! Everyone would pay for a box, your ratings will rise and so will stocks *smiles*",17.0,,,
mimi,5.0,Why did they stop making it? And so many other good things in the 90s! It's really the best cereal I ever had. Bring it back!,17.0,,,
mzslim1,5.0,(Team Breakfast Member)  I absolutely loved this cereal... It was so under rated. I could inhale 3-4 boxes a week... Until they stopped making it. So sad ppl don't even remember it when u mention it.,17.0,,,
kaos,5.0,"By far the best cereal in the world, I cried 4 weeks after they stopped making them!",17.0,,,
Bigsuge,5.0,"Oh man, this was by far one of the most underrated cereals ever, tasted so good right out of the box.",17.0,,,
Salty Dag,0.0,Never tried it but like the idea of more flavors for rice krispies. It's like the only cereal now that doesn't come in a many flavors. Would be fun.,17.0,,,
simply,5.0,"Fantastic, why did they stop making them? :(",17.0,,,
Dino Bravo,5.0,Still remember the taste of it to this day. One of the best.,4.0,,,
P. Crackers,5.0,Pretty much what everyone else is saying... this was the best cereal EVER! Ralston made all of the best cereals. I recall this one tasting just like Dunkin' Donuts cereal.,4.0,,,
Jeff H.,5.0,This was the,4.0,,,
Kaboodle Doodle,5.0,This was one of my favorites from the early 90's.,4.0,,,
K.Y.,5.0,I remember this cereal for some reason. I was 4 or 5 at the time.,4.0,,,
Bosslady96,5.0,(Team Breakfast Member)  Omg! I loved this cereal!!! Would eat a entire box while watching Saturday morning cartoons. With or without milk it was really good! Please please please bring it back!,4.0,,,
F.O.X.,5.0,"Please bring this cereal back! It was so good, milk or not! Would eat a whole box every Saturday morning!",4.0,,,
Keyes,5.0,"Please release this cereal again. I can't remember exactly how it tasted, but I do remember that I liked it A LOT.",4.0,,,
AA6,5.0,I loved this cereal.,4.0,,,
drwholives,5.0,"(Team Breakfast Member)  Please bring this flavor of cereal back. I was an addict when I was a kid, and couldn't get enough of it. I used to eat an entire box on a Saturday morning.",4.0,,,
Matty G.,0.0,"Very cool. Going to eBay now to look for a ""Thing Flashlight"". Loved the Addams Family (TV Show, not so much the movie).",4.0,,,
Rosered,5.0,"Amazing cereal, couldn't get enough of it, wish it would make a comeback.",4.0,,,
mart,5.0,That is JUST WHAT WE NEED... Mart,4.0,,,
Jelli,1.0,I remember this stuff tasted like pure maple syrup. I hated that stuff but I loved the Cousin It flash light.,4.0,,,
BenPanced,1.0,"(Team Breakfast Member)  I remember trying it when it first came out (hang on to the intact boxes with flashlights still on them, if you have them. It was incredibly difficult finding a box that didn't have the cellophane wrap torn open and the flashlights stolen!) I described the two flavors as ""chocolate"" and ""brown"".",4.0,,,
esam1,0.0,I want to try this cereal. Was it good?,4.0,,,
Roxie Katz,0.0,I have an unopened box of the stuff. I bought it just because I LOVED Raul Julia. I can only imagine what it looks like inside now...,4.0,,,
CactusHeart,4.0,"Wow, did I EVER have a love/hate relationship with THIS cereal *LOL* I love the Addams family, but didn't know what to make of the cereal...the flavor was kind of, well, WEIRD. *LOL* But then it's the Addams family, so where's the surprise there? *lol* The colors were off-putting. The fruit flavor combination was so out there it borderlined gross...yet...for some reason I couldn't stop eating it *LOL* Sadly, by the time it was discontinued, I was hooked *lol* I bothered the heck out of my uncle to buy as many boxes as he could at the closeout store.",4.0,,,
coolie,0.0,I'm a little young so I've never heard of that cereal but it seems cool.,4.0,,,
Lisa,5.0,"Oh my God!!! I used to eat this cereal all the time. And I have that Lurch flashlight! Oh, wonderful memories. ^_^ <3",4.0,,,
,,,,4.0,,
Montana,5.0,"I, too, loved this cereal. There wasn't anything 'bland' about it in my book!!",582.0,,,
Elephant,0.0,This cereal was my life. I was stunned and when it was discontinued. Now my wife is going to divorce me. Save my marriage. There is nothing in this world that can compare to this. Strawberry Medly. It's quite frankly the only thing I ever really loved. -Heart Broken,582.0,,,
davidcf67,5.0,"(Team Breakfast Member)  I have loved this cereal since it was released and still love it to this day. Please, please bring it back. It was amazing. There is nothing that compares to this and nothing will ever compare.",582.0,,,
mictuc,5.0,(Team Breakfast Member)  This was the BEST cereal I ever ate! What ever happened? Why oh why was it discontinued... I thought I was alone in my disbelief that my beloved cereal has been discontinued:'(. PROTEST!,582.0,,,
Yarngrandma,5.0,"When, if ever, are they going to bring back this awesome cereal? I MISS it like crazy.",582.0,,,
C.M.P.,5.0,Why was this taken away? What a shame. It was a terrific cereal.,582.0,,,
bigjohnp,5.0,"I really hope you bring back the strawberry medley, I used to buy it all the time. Since this cereal was discontinued, I have tried others but nothing comes close. I'm sure I am not the only one who wishes this product would come back. - John from Canada",582.0,,,
Canadian fan,5.0,"PLEASE bring this cereal back. It was the greatest! Having diabetes, it's a cereal my body could handle. The new one they replaced it with is no where as good.",582.0,,,
Dr.  Duck,5.0,This cereal is awesome. It's the only one that was always sold out so I started buying three or four boxes at a time so I would not run out. Please bring it back. You have my support!!,582.0,,,
Ladybug M.,5.0,"I just finished my last box. If anyone from Kellogg's is reading this... Do you have any at the factory that I can order? Please bring it back It's not fair that some of your products stay around for years unchanged but for us adults you are always changing what we like. I was in Missouri and had to transfer to Texas to keep my job. When I would go home, I would stock up on this cereal.",582.0,,,
BranCrazy,5.0,I love the cereal and I've searched everywhere for it. I have no comfort knowing that no one else has found this deliciously scrumptious bran cereal :( It was the best! We must bring it back!,582.0,,,
erin,5.0,Sometimes you don't appreciate what you've got until it's gone! These flakes were lightly crunchy and hardy and the strawberries added tons of flavor. I miss it now.,582.0,,,
burkey,5.0,My husband and I loved this cereal. I am online hoping to find a box somewhere as part of his Christmas gift. I hope they bring it back. It seems like there is enough support for it.,582.0,,,
Warrensburg,5.0,"I loved this cereal. Myself and 3 friends have been looking for this in stores. We can't find it. Please help and tell us where we can find this product close to Warrensburg, MO.",582.0,,,
SadInCanada2,5.0,This is or maybe I should say was my Mom's favorite cereal. And if they still have it in Canada I can't find it.,582.0,,,
sad-miss,5.0,I miss this cereal.,582.0,,,
bloated&amp;sad,5.0,I am so sad and so is my colon. It's the only thing that every made my digestive system happy. What will I do? If they still have it in Canada I think I will have to move there.,582.0,,,
Shelly,5.0,Love it... I'm glad we have it in Canada...,582.0,,,
clowery,5.0,"(Team Breakfast Member)  I love this cereal, It is awesome, but all the stores that I shop at have stopped stocking this cereal, I am so sad, I cannot find it, even went on a trip to another state and looked for it at their Walmart and they did not have it. What is up with stores in Mississippi not having it?",582.0,,,
Missing Medley,5.0,"So disappointed to learn this cereal has been discontinued. I have been eating my ""last"" box very sparingly :( I will contact Kellogg's with hopes they bring it back.",582.0,,,
Jane,5.0,"After 5 Diverticulosis flare-ups in 1 year, my doctor tells me to get more fiber. I tried (and fell in love with) Kellogg's All-Bran Strawberry Medley. I used to grab a cup of coffee and head out the door, until Strawberry Medley. It packs much more fiber than Special K for practically the same flavor. Now, I discover Kellogg's has discontinued my new breakfast ritual and I can't find it anywhere. I will be petitioning to have them bring it back.",582.0,,,
teastitcher,4.0,I called Kellogg's... it's been discontinued :( Figures... most people would rather eat all that sugary crap... no problem finding that stuff. I am so disappointed! Call or email Kellogg's and tell them you miss it... maybe they will bring it back.,582.0,,,
Oh-No,0.0,I cannot find this cereal either! Is it discontinued?,582.0,,,
helio189,4.0,"Like the other comments, I really like this cereal and can not find it in our stores anymore. What happened?",582.0,,,
Pitt,0.0,"Pittsburgh stores don't carry Strawberry Medley and I was ordering online, but now I can't find it anywhere. Kellogg's send it back to the stores.",582.0,,,
Queen Ann,5.0,Where is it? I can't find it anymore.,582.0,,,
A. Beamer,4.0,I love this cereal but can't find it in our local stores anymore.,582.0,,,
jeannie,4.0,I love this cereal but now I can't find it at our two nearest Walmarts or our local Food Lion. Is it still being made?,582.0,,,
V GOOD,5.0,I thought the All-Bran Strawberry Medley was awesome. I have had other bran cereal that was very bland. This cereal actually had a very nice flavor.,582.0,,,
,,,,4.0,,
,,,,582.0,,
dellaj,5.0,This was my all time favorite! I ate a bowl of it every morning when I was pregnant.,9.0,,,
boxershiner,5.0,Loved it and still miss it!,9.0,,,
Rockhound,5.0,"I'm a cereal mixer, in that I start with an unsweetened cereal like Grape Nuts or shredded wheat, then I top it with a slightly sweetened cereal. Almond Delight remains my all time favorite topper.",9.0,,,
Birdie,5.0,Why do they discontinue the best ones? I still miss it. My all-time favorite. Nothing current compares.,9.0,,,
jake,5.0,Why did they ever discontinue a 'fan favorite'?,9.0,,,
Roman Manlord,4.0,"Another promotion they did with this cereal was foreign currency. Every box came with actual paper currency from around the world. It was extremely low value currency, but still really cool!",9.0,,,
Murky,5.0,I loved this cereal and still miss it. Nothing else like it.,9.0,,,
cerealfreak,5.0,"(Team Breakfast Member)  Yet another great cereal that I wish they would bring back. When it first came out you could get a free box. I had my friend get free boxes for me, that is how much I loved it.",9.0,,,
DJ6,5.0,"The first time I tried Almond Delight, I instantly loved it. After I finished my first box, I went back to the store the following week looking forward to more, but they had discontinued it. Yep, I fell in love with it the very month the stopped making it. :-(",9.0,,,
B. R. Fast,5.0,"Wish they still made it. If they did, I would still be starting my daily routine with it.",9.0,,,
Packetman,5.0,I Want to eat more Almond Delight! I'm melting... Ohhh!,9.0,,,
